2026-04-10 18:33:35 | GET | meus-planos-api/categorias
2026-04-10 18:33:35 | GET | meus-planos-api/itens
2026-04-10 18:35:39 | GET | meus-planos-api/categorias
2026-04-10 18:35:41 | GET | meus-planos-api/itens
rias
2026-04-10 18:35:43 | GET | meus-planos-api/itens
rias
2026-04-10 18:35:44 | GET | meus-planos-api/categorias
2026-04-10 18:35:45 | GET | meus-planos-api/itens
rias
2026-04-10 18:41:14 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:27 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:29 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:29 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:29 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:29 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:29 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:30 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:30 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:30 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:30 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:30 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:31 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:32 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:32 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:32 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:32 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:32 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:33 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:33 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:33 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:33 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:33 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:34 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:34 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:35 | DELETE | meus-planos-api/itens/5
2026-04-10 18:41:35 | DELETE | meus-planos-api/itens/5
2026-04-10 18:58:13 | GET | meus-planos-api/categorias
2026-04-10 18:58:15 | GET | meus-planos-api/categorias
2026-04-10 18:58:15 | GET | meus-planos-api/itens
2026-04-10 19:04:53 | GET | meus-planos-api/categorias
2026-04-10 19:05:05 | GET | meus-planos-api/categorias
2026-04-10 19:05:26 | GET | meus-planos-api/categorias
2026-04-10 19:07:33 | GET | meus-planos-api/categorias
2026-04-10 19:07:33 | GET | meus-planos-api/itens
2026-04-10 19:11:51 | GET | meus-planos-api
2026-04-10 19:11:55 | GET | meus-planos-api/itens
2026-04-10 19:12:39 | GET | meus-planos-api/itens
2026-04-10 19:20:35 | GET | meus-planos-api
2026-04-10 19:21:11 | GET | meus-planos-api/itens
2026-04-10 19:22:03 | GET | meus-planos-api
2026-04-10 19:31:09 | GET | meus-planos-api/categorias
2026-04-10 19:31:09 | GET | meus-planos-api/itens
2026-04-10 19:31:11 | GET | meus-planos-api/categorias
2026-04-10 19:31:11 | GET | meus-planos-api/itens
2026-04-10 20:04:18 | GET | meus-planos-api/itens
2026-04-10 20:04:18 | GET | meus-planos-api/categorias
2026-04-10 20:04:18 | GET | meus-planos-api/categorias
2026-04-10 20:04:20 | GET | meus-planos-api/categorias
2026-04-10 20:47:52 | GET | meus-planos-api/itens
2026-04-10 20:47:52 | GET | meus-planos-api/categorias
2026-04-10 21:02:26 | OPTIONS | meus-planos-api/itens
2026-04-10 21:02:26 | POST | meus-planos-api/itens
2026-04-10 21:02:26 | GET | meus-planos-api/itens
2026-04-10 21:02:28 | OPTIONS | meus-planos-api/itens/8
2026-04-10 21:02:28 | PUT | meus-planos-api/itens/8
2026-04-10 21:06:43 | OPTIONS | meus-planos-api/itens/4
2026-04-10 21:06:43 | DELETE | meus-planos-api/itens/4
2026-04-10 21:06:43 | GET | meus-planos-api/itens
2026-04-10 21:06:49 | OPTIONS | meus-planos-api/itens/8
2026-04-10 21:06:49 | PUT | meus-planos-api/itens/8
2026-04-10 21:06:50 | DELETE | meus-planos-api/itens/8
2026-04-10 21:06:50 | GET | meus-planos-api/itens
2026-04-10 21:07:50 | GET | meus-planos-api/categorias
2026-04-10 21:07:53 | OPTIONS | meus-planos-api/categorias/3
2026-04-10 21:07:53 | DELETE | meus-planos-api/categorias/3
2026-04-10 21:07:53 | GET | meus-planos-api/categorias
2026-04-10 21:07:54 | OPTIONS | meus-planos-api/categorias/2
2026-04-10 21:07:54 | DELETE | meus-planos-api/categorias/2
2026-04-10 21:07:54 | GET | meus-planos-api/categorias
2026-04-10 21:08:04 | GET | meus-planos-api/categorias
2026-04-10 21:08:06 | GET | meus-planos-api/categorias
2026-04-10 21:08:09 | GET | meus-planos-api/categorias
2026-04-10 21:08:11 | GET | meus-planos-api/categorias
2026-04-10 21:08:21 | POST | meus-planos-api/categorias
2026-04-10 21:08:21 | GET | meus-planos-api/categorias
2026-04-10 21:08:25 | POST | meus-planos-api/categorias
2026-04-10 21:08:25 | GET | meus-planos-api/categorias
2026-04-10 21:08:26 | GET | meus-planos-api/categorias
2026-04-10 21:08:26 | GET | meus-planos-api/itens
2026-04-10 21:08:33 | OPTIONS | meus-planos-api/itens
2026-04-10 21:08:33 | POST | meus-planos-api/itens
2026-04-10 21:08:33 | GET | meus-planos-api/itens
2026-04-10 21:08:44 | OPTIONS | meus-planos-api/itens
2026-04-10 21:08:44 | POST | meus-planos-api/itens
2026-04-10 21:08:44 | GET | meus-planos-api/itens
2026-04-10 21:08:48 | POST | meus-planos-api/itens
2026-04-10 21:08:48 | GET | meus-planos-api/itens
2026-04-10 21:08:50 | OPTIONS | meus-planos-api/itens/10
2026-04-10 21:08:50 | PUT | meus-planos-api/itens/10
2026-04-10 21:09:20 | GET | meus-planos-api/categorias
2026-04-10 21:10:48 | GET | meus-planos-api/categorias
2026-04-10 21:10:48 | GET | meus-planos-api/itens
