07-04-2026 17:03:41 | GET | cafeteria-api/produtos
07-04-2026 17:03:41 | GET | cafeteria-api/categorias
07-04-2026 17:03:42 | GET | cafeteria-api/pedidos
07-04-2026 17:03:45 | GET | cafeteria-api/pedidos
07-04-2026 17:03:58 | GET | cafeteria-api/pedidos
07-04-2026 17:04:01 | GET | cafeteria-api/pedidos
07-04-2026 17:04:06 | GET | cafeteria-api/pedidos
07-04-2026 17:04:14 | GET | cafeteria-api/pedidos
07-04-2026 17:04:17 | GET | cafeteria-api/pedidos
07-04-2026 17:04:19 | GET | cafeteria-api/pedidos
07-04-2026 17:04:20 | GET | cafeteria-api/pedidos
07-04-2026 17:04:22 | GET | cafeteria-api/pedidos
07-04-2026 17:04:24 | GET | cafeteria-api/pedidos
07-04-2026 17:04:25 | GET | cafeteria-api/pedidos
07-04-2026 17:04:25 | GET | cafeteria-api/pedidos
07-04-2026 17:04:25 | GET | cafeteria-api/pedidos
07-04-2026 17:04:28 | GET | cafeteria-api/produtos
07-04-2026 17:04:28 | GET | cafeteria-api/categorias
07-04-2026 17:04:29 | GET | cafeteria-api/produtos
07-04-2026 17:04:30 | GET | cafeteria-api/pedidos
07-04-2026 17:04:32 | GET | cafeteria-api/pedidos
07-04-2026 17:04:32 | GET | cafeteria-api/produtos
07-04-2026 17:04:33 | GET | cafeteria-api/categorias
07-04-2026 17:04:34 | GET | cafeteria-api/pedidos
07-04-2026 17:04:34 | GET | cafeteria-api/categorias
07-04-2026 17:05:06 | GET | cafeteria-api/produtos
07-04-2026 17:05:06 | GET | cafeteria-api/categorias
07-04-2026 17:05:07 | GET | cafeteria-api/pedidos
07-04-2026 17:05:07 | GET | cafeteria-api/categorias
07-04-2026 17:05:23 | GET | cafeteria-api/categorias
07-04-2026 17:27:01 | GET | cafeteria-api/categorias
07-04-2026 17:27:01 | GET | cafeteria-api/produtos
07-04-2026 18:12:05 | GET | cafeteria-api/produtos
07-04-2026 18:12:07 | GET | cafeteria-api/pedidos
07-04-2026 18:12:10 | GET | cafeteria-api/produtos
07-04-2026 18:12:11 | GET | cafeteria-api/categorias
07-04-2026 18:12:19 | GET | cafeteria-api/categorias
07-04-2026 18:12:20 | GET | cafeteria-api/produtos
07-04-2026 20:00:04 | GET | cafeteria-api/pedidos
07-04-2026 20:00:07 | OPTIONS | cafeteria-api/pedidos
